,firstSeen,askPrice,isNew,color,brandName,modelName,vf_Seats,vf_WheelBaseShort,vf_Wheels,vf_Windows
1173588,2017-08-01,20980,False,Dark Sapphire Blue Metallic,BUICK,LaCrosse,5,114.4,4,4
1173608,2019-03-03,14980,False,Silver Ice Metallic,CHEVROLET,Malibu,5,111.4,4,4
1173634,2019-04-12,19895,False,Crimson Red Tintcoat,BUICK,Regal,5,107.8,4,4
1173670,2019-03-03,20982,False,Red Quartz Tintcoat,BUICK,LaCrosse,5,114.4,4,4
1173680,2018-12-21,30995,False,Crystal White Tricoat,CADILLAC,CTS,5,114.6,4,4
1173698,2019-03-03,15475,False,Summit White,CHEVROLET,Malibu,5,111.4,4,4
1173702,2019-02-23,14795,False,Red Hot,CHEVROLET,Cruze,5,106.3,4,4
1173708,2019-01-20,13995,False,Summit White,CHEVROLET,Cruze,5,106.30,4,6
1173709,2019-01-20,14395,False,Red Hot,CHEVROLET,Cruze,5,106.3,4,4
1173759,2019-04-14,14750,False,Mosaic Black,CHEVROLET,Cruze,5,106.3,4,4
1173848,2019-03-31,13495,False,Red Hot,CHEVROLET,Cruze,5,106.3,4,4
1173903,2019-03-09,15495,False,Blue Velvet Metallic,CHEVROLET,Malibu,5,111.4,4,4
1173915,2018-09-29,28895,False,Stone Gray Metallic,CADILLAC,XTS,5,111.70,4,4
1173927,2019-03-15,21895,False,Summit White,CHEVROLET,Volt,5,106.1,4,6
1173977,2019-02-27,14995,False,Nightfall Gray Metallic,CHEVROLET,Cruze,5,106.30,4,6
1174035,2019-02-27,13595,False,Silver Ice Metallic,CHEVROLET,Cruze,5,106.30,4,6
1174036,2019-02-23,14995,False,Summit White,CHEVROLET,Malibu,5,111.4,4,4
1174053,2019-01-20,14895,False,Silver Ice Metallic,CHEVROLET,Cruze,5,106.30,4,6
1174070,2019-04-02,37322,False,Crimson Red Tintcoat,BUICK,LaCrosse,5,114.4,4,4
1174075,2019-02-23,15995,False,Silver Ice Metallic,CHEVROLET,Malibu,5,111.4,4,4
1174132,2019-03-09,15495,False,Silver Ice Metallic,CHEVROLET,Malibu,5,111.4,4,4
1174154,2019-03-09,16995,False,Iridescent Pearl Tricoat,CHEVROLET,Malibu,5,111.4,4,4
1174170,2019-04-02,45259,False,Black Metallic,CADILLAC,CTS,5,114.60,4,4
1174171,2019-04-02,27900,False,Summit White,CHEVROLET,Volt,5,106.10,4,6
1174174,2019-03-09,22795,False,Silver Ice Metallic,CHEVROLET,Impala,5,111.70,4,4
1174206,2019-04-06,18895,False,Cajun Red Tintcoat,CHEVROLET,Cruze,5,106.30,4,4
